City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,takoradi,4.8845,-1.7554,29.15,77,61,6.2,GH,1682270512
222,harper,4.375,-7.7169,28.73,77,57,3.76,LR,1682270327
223,oyo,7.85,3.9333,28.33,70,99,4.86,NG,1682270215
224,punta arenas,-53.15,-70.9167,9.06,57,40,4.63,CL,1682270252
225,korla,41.7597,86.1469,10.73,48,1,1.96,CN,1682270338
226,carutapera,-1.195,-46.02,31.24,59,100,2.99,BR,1682270289
227,gobabis,-22.45,18.9667,27.38,33,65,0.43,NA,1682270399
228,cerritos,33.8583,-118.0648,25.6,76,40,3.09,US,1682270516
229,korba,22.35,82.6833,25.38,45,86,1.61,IN,1682270517
230,mandello del lario,45.9192,9.3193,19.96,67,87,1.23,IT,1682270517
231,oltinko'l,40.8011,72.1634,22.77,15,38,1.74,UZ,1682270518
232,sorong,-0.8833,131.25,25.38,88,74,0.58,ID,1682270379
233,bau,7.4053,124.6497,24.14,90,87,1.53,PH,1682269968
234,uusikaupunki,60.8004,21.4084,6.89,73,96,6.11,FI,1682270519
235,ubinskoye,55.3068,79.6802,11.1,44,100,7.3,RU,1682270519
236,kone,-21.0595,164.8658,22.69,93,99,0.95,NC,1682270193
237,caleta de carquin,-11.0925,-77.6267,26.27,71,3,5.0,PE,1682270375
238,acapulco de juarez,16.8634,-99.8901,29.9,66,0,3.6,MX,1682270365
239,tromso,69.6496,18.957,0.77,69,75,7.72,NO,1682270271
240,stephenville,32.2207,-98.2023,8.99,97,100,5.66,US,1682270522
241,kourou,5.1552,-52.6478,25.03,92,100,0.42,GF,1682270381
242,usinsk,65.9939,57.5281,-6.93,84,13,5.29,RU,1682270523
243,sungai penuh,-2.0833,101.3833,19.4,97,100,1.31,ID,1682270355
244,belaya kholunitsa,58.84,50.8528,6.79,68,99,2.26,RU,1682270524
245,lompoc,34.6391,-120.4579,21.03,79,22,11.18,US,1682270316
246,port moresby,-9.4431,147.1797,25.68,94,75,2.57,PG,1682270526
247,utrik,11.2278,169.8474,26.89,81,92,9.84,MH,1682270335
248,gadzhiyevo,69.2551,33.3362,-1.62,77,59,11.37,RU,1682270527
249,kuna,43.4918,-116.4201,14.01,52,40,5.66,US,1682270528
250,jonuta,18.0833,-92.1333,36.47,33,57,4.58,MX,1682270529
251,anloga,5.7947,0.8973,29.21,78,99,7.55,GH,1682270320
252,afaahiti,-17.75,-149.2833,24.93,83,100,9.0,PF,1682270353
253,bubaque,11.2833,-15.8333,26.71,68,7,6.89,GW,1682270355
254,flying fish cove,-10.4217,105.6791,27.46,79,25,7.3,CX,1682270359
255,saint-pierre,-21.3393,55.4781,26.43,78,0,1.54,RE,1682270305
256,callao,-12.0667,-77.15,26.16,65,0,6.69,PE,1682270144
257,itoman,26.1247,127.6694,22.43,83,75,4.63,JP,1682270281
258,onega,63.9061,38.1404,-2.05,74,98,0.77,RU,1682270534
259,pampa del infierno,-26.5052,-61.1744,28.77,37,31,1.62,AR,1682270535
260,nagqu,31.5,92.0,-2.18,60,100,1.5,CN,1682270337
261,nova sintra,14.8667,-24.7167,20.23,74,2,10.86,CV,1682270536
262,aberglasslyn,-32.7,151.5333,20.9,95,90,1.46,AU,1682270537
263,maua,-23.6678,-46.4614,24.89,69,5,3.19,BR,1682270538
264,loen,7.7601,168.2307,27.65,82,93,9.28,MH,1682270538
265,la passe,45.5549,-0.8967,15.13,85,18,8.7,FR,1682270322
266,qarazhal,48.0078,70.7903,13.55,32,4,4.51,KZ,1682270540
267,bojnurd,37.4747,57.329,15.97,72,40,3.09,IR,1682270540
268,ndele,8.4109,20.6473,27.8,52,100,3.72,CF,1682270541
269,nyurba,63.2842,118.3319,-15.0,100,50,1.33,RU,1682270542
270,midvagur,62.0511,-7.1939,1.46,75,100,7.72,FO,1682270543
271,juan griego,11.0817,-63.9655,28.2,71,62,2.63,VE,1682270543
272,bikenibeu village,1.3673,173.1241,27.98,83,20,4.12,KI,1682270381
273,chinsali,-10.5414,32.0816,18.33,95,100,2.1,ZM,1682270545
274,valparaiso,-33.0393,-71.6273,17.22,85,100,1.54,CL,1682270546
275,lihue,21.9789,-159.3672,21.87,94,100,2.57,US,1682269954
276,copiapo,-27.3667,-70.3333,18.83,40,16,3.56,CL,1682270547
277,bolivar,37.6145,-93.4105,11.82,37,13,3.46,US,1682270549
278,linxia chengguanzhen,35.6003,103.2064,5.92,72,93,1.26,CN,1682270550
279,freetown,8.484,-13.2299,29.84,70,20,6.17,SL,1682270551
280,saint-francois,46.4154,3.9054,13.87,81,100,7.72,FR,1682270434
281,labrador city,52.9463,-66.9114,9.95,40,75,5.14,CA,1682270552
282,abepura,-2.6333,140.5833,24.45,88,40,1.54,ID,1682270553
283,inirida,3.8653,-67.9239,27.37,84,100,0.97,CO,1682270347
284,mejit,10.2753,170.8646,27.05,82,98,9.49,MH,1682270326
285,galliano,29.4422,-90.2992,25.0,50,0,4.63,US,1682270555
286,likiep,9.8251,169.3107,27.29,82,97,9.79,MH,1682270556
287,cimislia,46.52,28.7842,13.08,63,80,3.34,MD,1682270557
288,hasilpur,29.7122,72.5553,27.4,14,0,2.97,PK,1682270557
289,kula,38.5473,28.6498,12.29,67,56,1.57,TR,1682270558
290,'alaqahdari dishu,30.4374,63.313,29.0,4,97,2.23,AF,1682270558
